 ************************** Initing args for:  DEEP_RANGE_v0   **************************
Iters 21400 | Evals 89110 | RangeLoss 1.854893684387207 | ActionLoss 0.014250054955482483 | TotalLoss 3.2794904708862305
Iters 21600 | Evals 89948 | RangeLoss 1.8550106287002563 | ActionLoss 0.014129424467682838 | TotalLoss 3.2675580978393555
Iters 21800 | Evals 90796 | RangeLoss 1.8547816276550293 | ActionLoss 0.01400585938245058 | TotalLoss 3.254976511001587
Iters 22000 | Evals 91617 | RangeLoss 1.8546608686447144 | ActionLoss 0.013888975605368614 | TotalLoss 3.2431681156158447
Iters 22200 | Evals 92440 | RangeLoss 1.8545578718185425 | ActionLoss 0.013775049708783627 | TotalLoss 3.231696605682373
Iters 22400 | Evals 93281 | RangeLoss 1.8545833826065063 | ActionLoss 0.01366246584802866 | TotalLoss 3.220472574234009
Iters 22600 | Evals 94138 | RangeLoss 1.8544429540634155 | ActionLoss 0.013549144379794598 | TotalLoss 3.2090113162994385
Iters 22800 | Evals 94971 | RangeLoss 1.8545105457305908 | ActionLoss 0.013437661342322826 | TotalLoss 3.1979455947875977
Iters 23000 | Evals 95811 | RangeLoss 1.8543367385864258 | ActionLoss 0.013328148052096367 | TotalLoss 3.1868155002593994
Iters 23200 | Evals 96652 | RangeLoss 1.8543483018875122 | ActionLoss 0.013221748173236847 | TotalLoss 3.176184892654419
Iters 23400 | Evals 97477 | RangeLoss 1.8544174432754517 | ActionLoss 0.013119515031576157 | TotalLoss 3.1660397052764893
Iters 23600 | Evals 98337 | RangeLoss 1.8542311191558838 | ActionLoss 0.013012439012527466 | TotalLoss 3.1551547050476074
Iters 23800 | Evals 99158 | RangeLoss 1.8542275428771973 | ActionLoss 0.012913401238620281 | TotalLoss 3.1452527046203613
Iters 24000 | Evals 99987 | RangeLoss 1.854143738746643 | ActionLoss 0.012815800495445728 | TotalLoss 3.135425090789795
Iters 24200 | Evals 100836 | RangeLoss 1.8538156747817993 | ActionLoss 0.012716704979538918 | TotalLoss 3.125206470489502
Iters 24400 | Evals 101661 | RangeLoss 1.853825330734253 | ActionLoss 0.012619349174201488 | TotalLoss 3.115492582321167
Iters 24600 | Evals 102502 | RangeLoss 1.8535674810409546 | ActionLoss 0.012521256692707539 | TotalLoss 3.105405330657959
Iters 24800 | Evals 103319 | RangeLoss 1.853428602218628 | ActionLoss 0.012428048998117447 | TotalLoss 3.0959436893463135
Iters 25000 | Evals 104159 | RangeLoss 1.8534018993377686 | ActionLoss 0.01233946904540062 | TotalLoss 3.0870678424835205
Iters 25200 | Evals 104996 | RangeLoss 1.8531967401504517 | ActionLoss 0.012249279767274857 | TotalLoss 3.077850103378296
Iters 25400 | Evals 105850 | RangeLoss 1.8530462980270386 | ActionLoss 0.012157849967479706 | TotalLoss 3.068566083908081
Iters 25600 | Evals 106669 | RangeLoss 1.852959394454956 | ActionLoss 0.012074082158505917 | TotalLoss 3.0601069927215576
Iters 25800 | Evals 107500 | RangeLoss 1.8528493642807007 | ActionLoss 0.011986392550170422 | TotalLoss 3.0512313842773438
Iters 26000 | Evals 108318 | RangeLoss 1.8527716398239136 | ActionLoss 0.01190096978098154 | TotalLoss 3.0426008701324463
Iters 26200 | Evals 109147 | RangeLoss 1.8527133464813232 | ActionLoss 0.011816322803497314 | TotalLoss 3.0340664386749268
Iters 26400 | Evals 110001 | RangeLoss 1.852514386177063 | ActionLoss 0.011732312850654125 | TotalLoss 3.0254688262939453
Iters 26600 | Evals 110828 | RangeLoss 1.8523615598678589 | ActionLoss 0.01165086030960083 | TotalLoss 3.0171639919281006
Iters 26800 | Evals 111654 | RangeLoss 1.852232813835144 | ActionLoss 0.01157031673938036 | TotalLoss 3.0089752674102783
Iters 27000 | Evals 112486 | RangeLoss 1.8521199226379395 | ActionLoss 0.011490385048091412 | TotalLoss 3.0008513927459717
Iters 27200 | Evals 113306 | RangeLoss 1.851981282234192 | ActionLoss 0.011415267363190651 | TotalLoss 2.9932034015655518
Iters 27400 | Evals 114140 | RangeLoss 1.851850152015686 | ActionLoss 0.011336160823702812 | TotalLoss 2.985149621963501
Iters 27600 | Evals 114993 | RangeLoss 1.8518584966659546 | ActionLoss 0.011257505044341087 | TotalLoss 2.977287530899048
Iters 27800 | Evals 115817 | RangeLoss 1.8516156673431396 | ActionLoss 0.011183991096913815 | TotalLoss 2.9696879386901855
Iters 28000 | Evals 116628 | RangeLoss 1.8513203859329224 | ActionLoss 0.011110842227935791 | TotalLoss 2.9620773792266846
Iters 28200 | Evals 117453 | RangeLoss 1.8512256145477295 | ActionLoss 0.01103985495865345 | TotalLoss 2.954874277114868
Iters 28400 | Evals 118297 | RangeLoss 1.8511301279067993 | ActionLoss 0.010965670458972454 | TotalLoss 2.947359561920166
Iters 28600 | Evals 119151 | RangeLoss 1.8510527610778809 | ActionLoss 0.010895405896008015 | TotalLoss 2.9402575492858887
Iters 28800 | Evals 120001 | RangeLoss 1.8509387969970703 | ActionLoss 0.010823149234056473 | TotalLoss 2.9329147338867188
Iters 29000 | Evals 120827 | RangeLoss 1.8508058786392212 | ActionLoss 0.010752991773188114 | TotalLoss 2.9257748126983643
Iters 29200 | Evals 121651 | RangeLoss 1.850725769996643 | ActionLoss 0.010684112086892128 | TotalLoss 2.918815851211548
Iters 29400 | Evals 122511 | RangeLoss 1.8505356311798096 | ActionLoss 0.010612905025482178 | TotalLoss 2.9115042686462402
Iters 29600 | Evals 123338 | RangeLoss 1.8505380153656006 | ActionLoss 0.010545889846980572 | TotalLoss 2.9048008918762207
Iters 29800 | Evals 124153 | RangeLoss 1.850338101387024 | ActionLoss 0.01048289518803358 | TotalLoss 2.898305654525757
Iters 30000 | Evals 125006 | RangeLoss 1.8501431941986084 | ActionLoss 0.01041603647172451 | TotalLoss 2.8914361000061035
Iters 30200 | Evals 125846 | RangeLoss 1.8499634265899658 | ActionLoss 0.01035072561353445 | TotalLoss 2.884721517562866
Iters 30400 | Evals 126667 | RangeLoss 1.849846363067627 | ActionLoss 0.010288297198712826 | TotalLoss 2.87837553024292
Iters 30600 | Evals 127500 | RangeLoss 1.8497438430786133 | ActionLoss 0.010229960083961487 | TotalLoss 2.8724372386932373
Iters 30800 | Evals 128328 | RangeLoss 1.84975004196167 | ActionLoss 0.010169015266001225 | TotalLoss 2.866356372833252
Iters 31000 | Evals 129149 | RangeLoss 1.8495546579360962 | ActionLoss 0.010108084417879581 | TotalLoss 2.860079288482666
Iters 31200 | Evals 129985 | RangeLoss 1.8494524955749512 | ActionLoss 0.010050149634480476 | TotalLoss 2.854198694229126
